_id,title,description,duration,definition,publishedAt,madeForKids,category_id,tags,views
tX9mACQiR88,GUE TERSINGGUNG‼️KALIAN BECANDANYA GAK ASIK! - RIAN DMASIV SOMASI EBEL 🤣- PRAZ TEGUH,#prazteguh  #goyanglidah #podcast,PT51M19S,hd,2023-10-12T04:20:00Z,False,24,"['dmasiv', 'podcast', 'goyanglidah', 'lucu', 'manchester united', 'red devils', 'manutd', 'Praz Teguh']",200791
UIfoGltSW2E,SAAT INI CANCER GUE NYEBAR OM DED.. GUE HANYA AKAN CERITA DISINI.. - VIDI ALDIANO - Podcast,#vidialdiano #cancer #podcast,PT40M20S,hd,2023-10-11T04:20:00Z,False,24,"['Vidi Aldiano', 'Cancer', 'Sakit', 'Penyakit', 'ginjal', 'Podhub', 'Sedih', 'Sembuh']",1262812
L2307YA52OA,"JESSICA WONGSO, RISET INI NETFLIX TIDAK PUNYA‼️ADA VIDEO DIA SEDANG... - Deddy Corbuzier Podcast",#jessicawongso #icecold #kopisianida #podcast,PT53M49S,hd,2023-10-10T04:20:00Z,False,24,"['Jessica wongso', 'Otto hasibuan', 'MIRNA', 'Kopi', 'Racun', 'OTOPSI', 'Fakta', 'Bukti', 'Netflix', 'Polisi', 'Ice cold']",4388285
_7gc-D7zpbs,BREAKING NEWS‼️ DITEMUKAN ORANG TUA PENYEBAR VIDEO 80K3P KE ANAK2‼️🤣 - ORMAS - Corbuzier Podcast,#ormas #podcast #komedi,PT33M42S,hd,2023-10-08T02:00:12Z,False,24,"['Ormas', 'komedi', 'lucu', 'Komedi', 'Ngakak', 'Ketawa', 'Denny Chandra', 'Jarwo kwat', 'Deddy Corbuzier']",978204
-j_yu-qc9eY,ITU KUNTI NYA DUDUK DI PANGKUAN TERUS GOYANG OM‼️RIZKY FEBIAN - Podhub - Vidi Aldiano - Ummi,#ummiquary #vidialdiano #rizkyfebian  #podcast #podhub #kuntilanak,PT58M25S,hd,2023-10-07T01:46:00Z,False,24,"['Rizky FEBIAN', 'Vidi Aldiano', 'Ummi quary', 'Setan', 'Cewe', 'Cantik', 'Podhub', 'Asik', 'Lucu', 'Komedi', 'Seram']",1403901
0r_4vtvcM2g,"KALIAN TAU POLISI PAKAI AHLI HIPNOTIS SAAT PERIKSA JESSICA⁉️CCTV REKAYASA, OTOPSI BOHONG‼️",#jessicawongso #ottohasibuan #mirnasalihin #kopisianida #icecold,PT50M19S,hd,2023-10-06T04:20:00Z,False,24,"['Ice cold', 'Otto hasibuan', 'Kopi sianida', 'Mirnasalihin', 'Polisi', 'Jessica wongso']",6725422
QILAIwRh6oo,"GUE DITOLAK TV GARA GARA NGONDEX, EH ARTIS LAINNYA.. LEBIH NGONDEXZ‼️🤣- MANG OZA, EBEL, PRAZ TEGUH",#prazteguh #mamangosa #ebelcobra  #standup #rumahmakan #warungpadang #satepadang #goyanglidah,PT49M3S,hd,2023-10-05T04:20:00Z,False,24,"['praz teguh', 'mamang osa', 'ebel cobra', 'standup', 'rumah makan', 'warung padang', 'sate padang', 'goyang lidah', 'Lucu', 'Komedi', 'Ngakak', 'Ketawa']",1065772
E-1ic9cz_YI,"MALAM ITU AYAH MEREBUT SENJATA, LALU... Kami tak Terima Keputusan Pemerintah! - Corbuzier Podcast",#g30spki #fakta #podcast,PT48M49S,hd,2023-10-04T04:20:00Z,False,24,"['G30spki', 'Fakta', 'Kenyataan', 'Film', 'Ahmad Yani', 'Jendral', 'Cerita', 'pemerintah', 'Sedih', 'Nangis']",5088969
brA4tbgGkNQ,ADA ARTIS JUDI ONLINE JADI CALEG‼️TAU KALIAN⁉️ FAKTA GELAP TIKTOK DAN GACOR‼️- Ferry Irwandi Podcast,#rahasia #fakta #podcast,PT59M17S,hd,2023-10-03T04:20:00Z,False,24,"['Amanda manopo', 'Polisi', 'Tiktok', 'Online', 'Tangkap', 'Ferry irwandi', 'Bahaya', 'Rahasia', 'Fakta']",2336635
p9GROkK6_pM,"SAYA DI GUNA2, DI HINA, DIBUANG, KITA KETAWAIN‼️- KURNIA MEIGA - Deddy Corbuzier Podcast",#kurniameiga  #bola #kiper #podcast,PT40M52S,hd,2023-10-02T04:20:00Z,False,24,"['Bola', 'Buta', 'Mata', 'Kiper', 'Sedih', 'Bahagia', 'Ketawa', 'Piala', 'Piagam', 'Jualan', 'Inspirasi', 'Kurnia meiga']",2351715
OyfX-1dSuSg,"ECA AURA, TOLONG AKU DI SARANG PENYAMUN...‼️🤣 - Deddy Corbuzier Podcast",#ormas #podcast #komedi,PT35M37S,hd,2023-10-01T01:46:00Z,False,24,"['Eca Aura', 'Tretan Muslim', 'FIco', 'Praz Teguh', 'Sastra Silalahi', 'Deddy Corbuzier', 'ORMAS', 'Podcast', 'Debat', 'Lucu', 'Kostan', 'Pacaran', 'Komedi', 'Agama', 'Kumpul Kebo', 'Haram', 'ketawa', 'Ngakak', 'Receh', 'Cantik']",1605318
M3jIteZtZAo,WIKA SALIM MENGGANGGU IMAN KU.. DAN IMAN MU❤️ - PODHUB - Vidi Aldiano - Ummi Quary,#ummiquary #vidialdiano #wikasalim #podcast #podhub,PT51M32S,hd,2023-09-30T01:46:00Z,False,24,"['Wika Salim', 'Ummi Quary', 'Deddy Corbuzier', 'Vidi Aldiano', 'Tulang Punggung', 'Tulang Rusuk', 'Podcast', 'Komedi', 'Keluarga', 'Perempuan', 'Lenong', 'Cantik', 'Cewe', 'Podhub']",1405378
L-BGaOKbsY4,"PACAR GUE DI WHATSAPP NYOKAP, BUBAR LANGSUNG‼️😅 KISAH NYATA BUKAN INDOSIAR - FICO - PRAZ TEGUH",#closethedoor #deddycorbuzier #prazteguh #fico #mli #standup #rumahmakan #warungpadang #satepadang #goyanglidah,PT50M3S,hd,2023-09-28T04:20:00Z,False,24,"['standup', 'Praz Teguh', 'Pwk', 'Fico', 'MLI', 'Tretan muslim', 'Lucu', 'Komedi', 'Ngakak', 'Ketawa', 'Padang', 'Warung', 'Makan']",1013130
9GFu0k7eIb4,SJW DENGER YA‼️ SELF LOVE TAIK KUCING!!!! - SAYKOJI - PODCAST,#saykoji #inspirasi #podcast,PT1H11M38S,hd,2023-09-27T04:20:00Z,False,24,"['SAYKOJI', 'Sakit', 'Inspirasi', 'Seram', 'Diet', 'Olahraga']",793129
KTkh_zE538g,"DENNY CAKNAN, ISTRIKU DIHUJAT SEMUA ORANG‼️JADI GINI.. INI LOS DOL YA BRO🤣⁉️ -  Podcast",#dennycaknan #hamil #podcast,PT52M28S,hd,2023-09-26T04:20:01Z,False,24,"['Denny caknan', 'Istri', 'Hamil', 'Nikah', 'Bella Bonita', 'Los dol', 'Jawa', 'Happy asmara']",4039353
I4E8o067WCw,MAAF KAMI TAKUT BERI JUDUL‼️JEBLOK JURANG INI...🤣-  ORMAS -  Corbuzier Podcast,#marshelwidyanto #ormas #podcast #komedi,PT52M2S,hd,2023-09-24T01:46:00Z,False,24,"['Deddy Corbuzier', 'ORMAS', 'Podcast', 'Debat', 'Dustin', 'Denny Chandra', 'Jenda', 'Gary Iskak', 'Marshel', 'Tenaga Kerja Asing', 'TKA', 'Kerja', 'Pemerintah', 'Komedi', 'Lucu', 'Kocak', 'Pengangguran', 'Bromo']",1376309
sNw4Hf9qeko,MINTA IJIN POLIGAMI DEPAN SABRINA... DIGAPLOK DI STUDIO‼️🤣- Vidi Aldiano - Nita Gunawan Podhub,#sabrina #vidialdiano #nitagunawan #podcast #podhub,PT56M59S,hd,2023-09-23T01:46:00Z,False,24,"['Pacar', 'Sabrina', 'Agnez mo', 'Istri', 'Nita Gunawan', 'Suami', 'Vidi Aldiano', 'Lucu', 'Komedi', 'Ngakak', 'Ketawa', 'humor']",1803980
4o94qCgiIWk,JAMAN DULU NGELAWAK BAHAYA BOS 😭‼️ PRAZ TEGUH - BANG MANDRA podcast,#prazteguh #mandra #Corbuzier #padang #warungmakan #podcast #betawi #sidoel #lucu,PT43M4S,hd,2023-09-22T10:45:00Z,False,24,"['prazteguh', 'mandra', 'corbuzier', 'padang', 'warung makan', 'podcast', 'betawi', 'lucu', 'rumah makan padang', 'praz', 'PWK', 'Praz teguh', 'Lucu', 'Si doel', 'Komedi', 'Ngakak', 'Ketawa', 'Bacapres']",1210786
gLG4Bk_jd24,SAYA BONGKAR YA‼️ 30 JUTA SATU KURSI SEKOLAH NEGERI⁉️ NAH LOH!! Bima Arya - PODCAST,#pungli #sekolah #bimaarya #podcast,PT44M20S,hd,2023-09-21T04:20:00Z,False,24,"['Pungli', 'Sekolah', 'Murid', 'Guru', 'Bima Arya', 'Pecat']",872275
zKRKgirpcxE,BARU KALI INI GUE PODCAST SAMA AYAM... AYAM‼️🤣 PUTRA Ayam Adi Sudirja Ngamuk di Podcast.,"#ayam #putra #podcast
Putra si ayam babi ini ngamuk di podcast gara gara jetleg.. Mau gue potong yang punya ngamuk. Hahaha",PT41M40S,hd,2023-09-20T04:20:01Z,False,24,"['Putra ayam', 'Putra', 'Ayam', 'Hilang', 'Lucu', 'Komedi', 'Ketawa', 'Ngakak', 'Rusuh', 'Ribut', 'Polisi', 'Ayam hilang', 'Adi Sudirja', 'Medan']",1382873
YczY0p4BpTQ,"KEJADIAN GAIB ITU MULAI SAAT ULAR ""JIN"" ITU GIGIT SAYA‼️PANJI PETUALANG - Deddy Corbuzier Podcast","#adzan #ruqyah #panji 
Panji PETUALANG mulai mengalami kejadian aneh.. Tak bisa mendengar Adzan, dadanya panas terbakar.. Setelah seekor ular aneh menggigit jarinya..",PT46M45S,hd,2023-09-19T04:20:00Z,False,24,"['Panji PETUALANG', 'Ruqyah', 'Ustad', 'Lala', 'Ular', 'Jin', 'Ghaib', 'FAIZAR', 'Seram', 'Adzan', 'Islam', 'Agama']",4898202
zR_YemCL39g,MEJA GUE ANCUR DI PUKUL‼️WAHAI DPR..😂 ‼️🤣- ORMAS - Deddy Corbuzier Podcast,#ormas #podcast #komedi,PT45M50S,hd,2023-09-17T01:46:00Z,False,24,"['ormas', 'fahri hamzah', 'ebel cobra', 'yusril fahriza', 'maell lee', 'gilang dirga', 'mamang osa', 'judi', 'legalkan judi', 'judi online', 'komedi', 'lucu', 'lawak']",1803413
mwrpZcGBfYs,KELAKUAN ONAD DI RUMAH DIBONGKAR ISTRI‼️🤣 HEH CHONGZ‼️- Praz Teguh,#bebyleonardo #onad #prazteguh #closethedoor #bohlam #motor #lucu #musisi,PT49M39S,hd,2023-09-16T01:46:00Z,False,24,"['beby leonardo', 'onad', 'praz teguh', 'last child', 'close the door', 'bohlam', 'motor', 'lucu', 'musisi', 'banci']",3441595
EMZdc03JWEg,"ATURAN NO 3 BIKIN PUSING‼️🤣 TAPI HARUKA PINGIN⁉️😂. (Vidi Aldiano, ramengvrl - Corbuzier","#haruka #vidialdiano #pesta 
Indonesia saat ini ada pesta 0r9y, tempat tertutup dan ada syaratnya... Kita bongkar lokasinya.. Kita kasih tau isi dalamnya🤣 Podhub itu apa...? Enjoy the weekly new sensation of CLOSETHEDOOR",PT58M16S,hd,2023-09-15T04:20:00Z,False,24,"['HARUKA', 'Cewe Jepang', 'Jepang', 'Anime', 'Vidi Aldiano', 'Nikah', 'Pacar', 'Cantik', 'Pesta', 'Podhub']",1854330
aRCLFQDLoVI,KISAH WANITA BERMATA 7‼️ Ada yang LASER!! Ghina Khansa,#mata #ajaib #podcast,PT53M35S,hd,2023-09-13T04:20:00Z,False,24,"['Mata', 'Ajaib', 'Serem', 'Keren', 'Takut', 'Viral', 'Ghina Khansa']",1739142
Avpx9XrpHQg,INILAH DUTA NIKAH BEDA AGAMA‼️ RIGEN.. WAH KELEWATAN LOE GEN..😂 😂,"#ormas #podcast #komedi
Rigen.. Akhirnya mengaku bahwa dialah DUTA NIKAH BEDA AGAMA... Hal ini diakui olehnya pada saat.....😂",PT36M59S,hd,2023-09-10T01:46:00Z,False,24,"['rigen', 'rispo', 'gjls', 'agak laen', 'oki rengga', 'indra jegel', 'podcast', 'lucu', 'kocak', 'komedi', 'nikah', 'agama', 'indonesia', 'beda agama', 'standup', 'deddy corbuzier', 'ormas']",1727107
VhePPZd0VX0,"TAHUKAH KALIAN, KENAPA TUHAN MENCIPTAKAN KANGKUNG.... 😂 - Sony Wakwaw - Praz Teguh",#prazteguh #soniwakwaw #podcast,PT46M39S,hd,2023-09-09T01:50:00Z,False,24,"['Sony Wakwaw', 'Praz Teguh', 'Deddy Corbuzier', 'Podcast', 'Kocak', 'lucu', 'komedi', 'deddy corbuzier', 'ngakak', 'standup', 'marah', 'bingung']",1228203
RJ1fLt8l-QE,"ANIES, GANJAR, PRABOWO, BERANI DENGAR INI⁉️NEKAT BEM UI‼️- Deddy Corbuzier Podcast","#anies #prabowo #ganjar 
BEM UI menantang kalian untuk debat gagasan dan wawasan dengan mereka dan lawan bacapres, jangan hanya PENCITRAAN tiktok doang kalian bisa kata ketua BEM UI..
Tgl 14 ini....",PT46M53S,hd,2023-09-07T04:20:01Z,False,24,"['Prabowo', 'Anies', 'Ganjar', 'CAK imin', 'KPK', 'Pdi', 'Gerindra', 'Nasdem', 'SBY', 'AHY', 'Demokrat', 'Pkb', 'Pks', 'Debat', 'Calon presiden', 'Capres']",2425315
